rawSymbol,ca,type,cacheHas,alphaIdByCa,cacheSize
101,"0x7ec43cf65f1663f820427c62a5780b8f2e25593a",alpha-full,false,101,403
101,"0x0a43fc31a73013089df59194872ecae4cae14444",alpha-full,false,101,403
61,"0x223a20e1b83aa3832e78d4b7b132df022e739222",alpha-full,false,61,403
11,"0x9558a9254890b2a8b057a789f413631b9084f4a3",alpha-full,false,11,403
61,"0xb7e548c4f133adbb910914d7529d5cb00c2e9051",alpha-full,false,61,403
11,"0x8b194370825e37b33373e74a41009161808c1488",alpha-full,false,11,403
11,"0xdac991621fd8048d9f235324780abd6c3ad26421",alpha-full,false,11,403
0,"0x4ed4e862860bed51a9570b96d89af5e1b0efefed",alpha-full,false,0,403
61,"0xed9ae3def8d6f052971bb8b6d1975ff267cf9aad",alpha-full,false,61,403
11,"0x635d44f246156ed1080cb470877256c847673f19",alpha-full,false,11,403
101,"0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37",alpha-full,false,101,403
0,"0xa53887f7e7c1bf5010b8627f1c1ba94fe7a5d6e0",alpha-full,false,0,403
61,"0x1219c409fabe2c27bd0d1a565daeed9bd9f271de",alpha-full,false,61,403
101,"0xf39e4b21c84e737df08e2c3b32541d856f508e48",alpha-full,false,101,403
0,"0x768be13e1680b5ebe0024c42c896e3db59ec0149",alpha-full,false,0,403
0,"0x14fee680690900ba0cccfc76ad70fd1b95d10e16",alpha-full,false,0,403
11,"0x810df4c7daf4ee06ae7c621d0680e73a505c9a06",alpha-full,false,11,403
61,"0x1a1e69f1e6182e2f8b9e8987e83c016ac9444444",alpha-full,false,61,403
61,"0x2aa89a0113bcbbcdc5812c6df794e2d9650fc1af",alpha-full,false,61,403
11,"0x46345336e7c5c89bd15d557203040f2c1ab4dd18",alpha-full,false,11,403
61,"0xb2d97c4ed2d0ef452654f5cab3da3735b5e6f3ab",alpha-full,false,61,403
61,"0xf486ad071f3bee968384d2e39e2d8af0fcf6fd46",alpha-full,false,61,403
11,"0x1e3dbc0aad9671fdd31e58b2fcc6cf1ca9947994",alpha-full,false,11,403
0,"CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump",alpha-full,false,0,403
101,"0x011ebe7d75e2c9d1e0bd0be0bef5c36f0a90075f",alpha-full,false,101,403
61,"0xff7f8f301f7a706e3cfd3d2275f5dc0b9ee8009b",alpha-full,false,61,403
11,"0x107c9c954b19f69dec6ddeffff9a5745a05e86a3",alpha-full,false,11,403
11,"0x87aa6aeb62ff128aaa96e275d7b24cd12a72aba1",alpha-full,false,11,403
101,"0xcf3232b85b43bca90e51d38cc06cc8bb8c8a3e36",alpha-full,false,101,403
61,"0xd955c9ba56fb1ab30e34766e252a97ccce3d31a6",alpha-full,false,61,403
110,"Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump",alpha-full,false,110,403
60,"8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump",alpha-full,false,60,403
0,"Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs",alpha-full,false,0,403
